variable,condition,frequency,modulation_depth,n,mean,sd,median,IQR,missing_n
Q1,0 Hz (stable),0,NA,75,5.539,1.348,5.976,1.811,0
Q1,8.33 Hz / 40%,8.33,40,75,4.38,1.403,4.128,2.762,0
Q1,8.33 Hz / 60%,8.33,60,75,3.604,1.487,3.287,1.564,0
Q1,8.33 Hz / 80%,8.33,80,75,2.843,1.512,2.537,1.637,0
Q1,12.5 Hz / 40%,12.5,40,75,4.141,1.383,3.945,2.607,0
Q1,12.5 Hz / 60%,12.5,60,75,3.281,1.528,3.085,1.829,0
Q1,12.5 Hz / 80%,12.5,80,75,2.39,1.472,2.024,2.177,0
Q1,25 Hz / 40%,25,40,75,3.986,1.448,3.854,2.012,0
Q1,25 Hz / 60%,25,60,75,3.305,1.365,3.03,1.527,0
Q1,25 Hz / 80%,25,80,75,2.396,1.367,2.024,1.537,0
Q2,0 Hz (stable),0,NA,75,3.029,1.214,2.994,1.939,0
Q2,8.33 Hz / 40%,8.33,40,75,3.55,1.2,3.89,1.82,0
Q2,8.33 Hz / 60%,8.33,60,75,3.978,1.327,4.293,1.573,0
Q2,8.33 Hz / 80%,8.33,80,75,4.475,1.177,4.805,1.198,0
Q2,12.5 Hz / 40%,12.5,40,75,3.75,1.236,3.982,1.674,0
Q2,12.5 Hz / 60%,12.5,60,75,4.247,1.411,4.274,1.546,0
Q2,12.5 Hz / 80%,12.5,80,75,4.873,1.527,5.134,2.058,0
Q2,25 Hz / 40%,25,40,75,3.851,1.408,4.018,1.582,0
Q2,25 Hz / 60%,25,60,75,4.219,1.203,4.348,1.546,0
Q2,25 Hz / 80%,25,80,75,4.753,1.395,4.878,1.765,0
Q3,0 Hz (stable),0,NA,75,3.013,1.293,2.976,1.994,0
Q3,8.33 Hz / 40%,8.33,40,75,3.451,1.321,3.726,2.25,0
Q3,8.33 Hz / 60%,8.33,60,75,4.016,1.311,4.146,1.29,0
Q3,8.33 Hz / 80%,8.33,80,75,4.261,1.351,4.494,1.39,0
Q3,12.5 Hz / 40%,12.5,40,75,3.649,1.199,4,2.131,0
Q3,12.5 Hz / 60%,12.5,60,75,4.239,1.409,4.238,1.335,0
Q3,12.5 Hz / 80%,12.5,80,75,4.889,1.466,5.116,1.811,0
Q3,25 Hz / 40%,25,40,75,3.596,1.379,3.726,2.241,0
Q3,25 Hz / 60%,25,60,75,4.247,1.176,4.238,1.454,0
Q3,25 Hz / 80%,25,80,75,4.634,1.368,4.896,1.61,0
Q4,0 Hz (stable),0,NA,75,5.213,1.432,5.811,2.159,0
Q4,8.33 Hz / 40%,8.33,40,75,4.833,1.409,5.098,2.36,0
Q4,8.33 Hz / 60%,8.33,60,75,4.724,1.493,4.86,2.36,0
Q4,8.33 Hz / 80%,8.33,80,75,4.505,1.566,4.97,2.671,0
Q4,12.5 Hz / 40%,12.5,40,75,4.893,1.412,5.024,2.387,0
Q4,12.5 Hz / 60%,12.5,60,75,4.679,1.408,4.97,1.966,0
Q4,12.5 Hz / 80%,12.5,80,75,4.451,1.66,4.549,2.89,0
Q4,25 Hz / 40%,25,40,75,4.996,1.469,5.171,1.921,0
Q4,25 Hz / 60%,25,60,75,4.487,1.463,4.585,2.652,0
Q4,25 Hz / 80%,25,80,75,4.377,1.719,4.933,2.671,0
