participant_id,experiment_date,age,gender,license_type,license_years,occupation,annual_km,commercial_transport_exp,driving_style,flicker_discomfort,cms_experience,is_P09_nolicense,is_P15_colorblind,note
P01,2026-04-17,22,Male,B,4,Student,10000-20000,No,Balanced,Never,No,FALSE,FALSE,
P02,2026-04-24,59,Female,B,41,Lab .Engineer,0-5000,No,Cautious,Never,No,FALSE,FALSE,
P03,2026-04-24,52,Female,B,34,Engineer,10000-20000,No,Cautious,Never,No,FALSE,FALSE,
P04,2026-04-30,44,Male,B,12,System Developer,10000-20000,"Yes, passenger car",Very confident,Occasionally,Yes,FALSE,FALSE,
P05,2026-04-30,33,Female,B,5,Student,5000-10000,No,Confident,Never,No,FALSE,FALSE,
P06,2026-05-04,29,Female,B,5,Student,10000-20000,No,Confident,Occasionally,No,FALSE,FALSE,
P07,2026-05-04,31,Male,B,11,Working,0-5000,"Yes, passenger car",Very cautious,Never,No,FALSE,FALSE,
P08,2026-05-05,42,Male,B,10,Communication,10000-20000,No,Balanced,Never,No,FALSE,FALSE,
P09,2026-05-05,36,Male,NA,NA,Teacher,0-5000,No,Very cautious,Never,No,TRUE,FALSE,No driving license
P10,2026-05-06,32,Male,B,10,Student,0-5000,"Yes, passenger car",Very cautious,Never,No,FALSE,FALSE,
P11,2026-05-06,40,Female,B,4,Freelance,0-5000,No,Cautious,Occasionally,Yes,FALSE,FALSE,
P12,2026-05-07,31,Female,B,0.3333333333333333,Job Seeker,10000-20000,No,Balanced,Occasionally,No,FALSE,FALSE,
P13,2026-05-11,29,Female,B,6,Student,0-5000,No,Very cautious,Occasionally,No,FALSE,FALSE,
P14,2026-05-11,34,Female,B,3,Researcher,0-5000,No,Cautious,Never,No,FALSE,FALSE,
P15,2026-05-12,37,Male,B,19,Translator,0-5000,No,Balanced,Never,No,FALSE,TRUE,Color blind (experimenter record)
P16,2026-05-13,25,Female,B,5,Student,5000-10000,No,Balanced,Never,No,FALSE,FALSE,
P17,2026-05-15,31,Female,B,1,Researcher,10000-20000,No,Balanced,Never,No,FALSE,FALSE,
P18,2026-05-15,42,Female,B,12,Univ Faculty,10000-20000,No,Balanced,Occasionally,No,FALSE,FALSE,
P19,2026-05-18,23,Female,B,5,Student,0-5000,"Yes, passenger car",Confident,Never,No,FALSE,FALSE,
P20,2026-05-19,49,Male,B,2,It Engineer,5000-10000,No,Balanced,Never,No,FALSE,FALSE,
P21,2026-05-21,23,Female,B,6,Student,5000-10000,No,Balanced,Never,No,FALSE,FALSE,
P22,2026-05-22,23,Female,B,4,Student,10000-20000,No,Balanced,Never,No,FALSE,FALSE,
P23,2026-05-22,52,Male,B,30,Technician,5000-10000,"Yes, bus",Balanced,Never,Yes,FALSE,FALSE,
P24,2026-05-22,33,Female,B,9,Sustainability Worker,10000-20000,No,Balanced,Occasionally,No,FALSE,FALSE,
P25,2026-05-22,57,Male,B,38,Marketing Manager,0-5000,No,Balanced,Never,No,FALSE,FALSE,
