DV,subset,Effect,F,num_df,den_df_GG,pes,pes_CI_low,pes_CI_high,p_GG,n_excluded_trials
TTC_s,full_sample,frequency,5.094,1.83,43.91,0.1751,0.01,0.3623,0.0121,NA
Q1,full_sample,frequency,54.133,1.52,36.57,0.6928,0.5092,0.7943,0,NA
TTC_s,excl_P09,frequency,4.858,1.83,42.15,0.1744,0.0075,0.365,0.0147,NA
Q1,excl_P09,frequency,50.637,1.52,35,0.6877,0.4963,0.7924,0,NA
TTC_s,excl_P15,frequency,6.157,1.98,45.6,0.2112,0.0273,0.3948,0.0044,NA
Q1,excl_P15,frequency,50.158,1.58,36.35,0.6856,0.4977,0.7895,0,NA
TTC_s,excl_P09_P15,frequency,5.776,1.98,43.64,0.2079,0.0226,0.3951,0.0061,NA
Q1,excl_P09_P15,frequency,46.603,1.58,34.71,0.6793,0.4827,0.787,0,NA
Q1,full_sample,frequency,54.133,1.52,36.57,0.6928,0.5092,0.7943,0,NA
Q1,complete_ratings,frequency,54.133,1.52,36.57,0.6928,0.5092,0.7943,0,NA
Q2,full_sample,frequency,28.672,1.64,39.31,0.5444,0.3186,0.6857,0,NA
Q2,complete_ratings,frequency,28.672,1.64,39.31,0.5444,0.3186,0.6857,0,NA
Q3,full_sample,frequency,24.186,1.83,44.02,0.5019,0.2811,0.6471,0,NA
Q3,complete_ratings,frequency,24.186,1.83,44.02,0.5019,0.2811,0.6471,0,NA
Q4,full_sample,frequency,5.605,1.51,36.34,0.1893,0.01,0.3978,0.0128,NA
Q4,complete_ratings,frequency,5.605,1.51,36.34,0.1893,0.01,0.3978,0.0128,NA
dwell_ratio_cms,full_sample,frequency,0.399,1.79,42.85,0.0164,0,0.129,0.65,NA
dwell_ratio_cms,high_quality,frequency,0.684,1.81,43.4,0.0277,0,0.1575,0.4958,NA
transition_count,full_sample,frequency,0.09,2.11,50.69,0.0037,0,0.0447,0.9226,NA
transition_count,high_quality,frequency,0.201,1.96,47,0.0083,0,0.0862,0.8144,NA
TTC_s,full_sample,frequency,5.094,1.83,43.91,0.1751,0.01,0.3623,0.0121,0
TTC_s,excl_2.5SD,frequency,6.205,1.86,44.64,0.2054,0.0246,0.392,0.005,12
