condition,Visual Discomfort,Mental Demand,Effort,Decision Uncertainty
0 Hz (stable),2.46 (1.35),3.03 (1.21),3.01 (1.29),2.79 (1.43)
8.33 Hz / 40%,3.62 (1.40),3.55 (1.20),3.45 (1.32),3.17 (1.41)
8.33 Hz / 60%,4.42 (1.50),3.97 (1.34),4.02 (1.33),3.23 (1.48)
8.33 Hz / 80%,5.16 (1.51),4.47 (1.18),4.26 (1.35),3.50 (1.57)
12.5 Hz / 40%,3.86 (1.38),3.75 (1.24),3.65 (1.20),3.11 (1.41)
12.5 Hz / 60%,4.72 (1.53),4.25 (1.41),4.24 (1.41),3.32 (1.41)
12.5 Hz / 80%,5.61 (1.47),4.87 (1.53),4.89 (1.47),3.55 (1.66)
25 Hz / 40%,4.01 (1.45),3.85 (1.41),3.60 (1.38),3.00 (1.47)
25 Hz / 60%,4.70 (1.36),4.22 (1.20),4.25 (1.18),3.51 (1.46)
25 Hz / 80%,5.60 (1.37),4.75 (1.40),4.63 (1.37),3.62 (1.72)
